timestamp,user_id,processing_batch_id,transaction_amount,user_age_days,ip_risk_score,transaction_speed_seconds,product_category,payment_method,is_fraud
29:50.2,104985,2113,4.27,392,30.01,17.73,subscription,credit_card,0
22:20.7,102534,2254,37.62,507,25.83,22.36,travel,debit_card,0
46:36.0,110534,2373,531.63,64,85.22,9.35,digital_service,credit_card,1
38:02.3,109236,2158,314.96,965,55.09,22.81,subscription,paypal,0
22:58.1,109706,2381,2300.59,45,94.31,4.67,digital_service,credit_card,1
01:42.5,109115,2383,247.42,988,61.32,20.42,apparel,credit_card,0
27:47.2,110759,2382,42.73,554,21.68,14.72,digital_service,credit_card,0
08:53.7,107915,2178,15.63,139,10.52,19.17,digital_service,credit_card,0
30:34.6,111670,2177,77.87,90,67.39,11.83,digital_service,credit_card,0
17:39.4,103038,2220,914.82,644,65.11,13.1,apparel,paypal,0
08:39.9,109762,2221,54.13,914,16.7,10.79,subscription,debit_card,0
54:46.7,109392,2396,451.52,333,63.95,10.88,subscription,credit_card,0
25:10.6,107685,2241,3.79,841,75.04,7.02,digital_service,credit_card,0
27:16.0,103283,2196,12.32,600,57.44,22.39,digital_service,credit_card,0
31:38.5,110823,2329,42.12,944,68.98,22.32,digital_service,credit_card,0
09:22.7,105086,2334,334.08,75,54.14,20.89,travel,debit_card,0
37:05.8,110396,2183,1547.95,975,29.65,23.2,subscription,credit_card,0
44:06.7,106488,2340,592.33,61,93.07,2.65,subscription,paypal,1
30:32.6,106266,2119,40.68,179,16.83,23.74,subscription,credit_card,0
51:34.8,106385,2352,56.89,91,23.32,17.17,electronics,paypal,0
41:55.5,103489,2197,1865.73,75,86.44,11.41,digital_service,paypal,1
23:13.8,103220,2258,525.05,53,75.28,5.49,apparel,paypal,1
41:53.2,103193,2216,2.65,266,35.03,12.05,subscription,paypal,0
16:39.2,106911,2245,13.99,808,71.34,13.78,digital_service,debit_card,0
31:13.0,106275,2398,36.13,317,64.01,5.91,digital_service,paypal,0
27:10.4,100394,2206,564.06,17,79.19,8.95,digital_service,paypal,1
47:58.8,107273,2366,31.28,273,51.24,23.03,electronics,credit_card,0
02:29.4,102221,2136,41.73,299,77.47,8.05,electronics,credit_card,0
50:14.6,109778,2172,86.3,858,41.29,19.39,subscription,debit_card,0
48:00.0,103277,2319,9.46,350,20.47,20.24,digital_service,credit_card,0
27:54.4,108911,2184,670.95,37,98.03,11.73,apparel,credit_card,1
58:07.7,110003,2302,576.48,62,78.57,4.16,travel,credit_card,1
36:17.6,106694,2218,2046.78,89,81.29,12.45,digital_service,credit_card,1
04:50.4,110071,2103,209.32,740,69.07,18.38,subscription,debit_card,0
11:52.8,103758,2385,149.1,888,18.26,9.43,travel,paypal,0
27:33.0,100897,2300,478.47,64,72.85,6.82,travel,paypal,1
11:26.5,102490,2337,739.41,61,91.9,10.98,digital_service,debit_card,1
08:35.8,104366,2141,981.7,41,75.67,11.6,apparel,paypal,1
13:59.0,108232,2221,13.96,511,74.24,5.57,apparel,debit_card,0
24:49.4,108008,2354,467.87,79,82.54,12,digital_service,credit_card,1
52:58.5,111705,2154,19.81,400,80.87,12.57,digital_service,debit_card,0
19:10.2,111196,2395,193.78,828,22.32,13.39,digital_service,credit_card,0
59:45.5,110171,2106,529.46,732,63.15,10.75,subscription,debit_card,0
25:42.0,106709,2182,100.19,746,74.38,11.21,travel,credit_card,0
41:21.0,101855,2165,21.97,617,34.4,24.43,travel,credit_card,0
39:23.7,106798,2116,21.38,489,70.05,19.68,apparel,credit_card,0
04:38.0,101117,2363,65.11,23,71.82,6.08,apparel,paypal,1
39:48.2,111333,2173,131.27,562,38.79,17.22,electronics,debit_card,0
25:27.7,103368,2199,117.69,874,48.81,18.46,subscription,credit_card,0
51:11.3,104546,2288,427.89,88,94.62,6.71,travel,credit_card,1
35:15.5,106504,2274,37.47,930,43.34,16.66,digital_service,debit_card,0
33:22.7,110353,2371,400.12,574,69.39,5.7,digital_service,credit_card,0
53:10.6,100210,2291,34.36,521,58.8,6.19,travel,credit_card,0
18:02.8,103269,2317,15.74,922,24.55,23.25,digital_service,paypal,0
11:22.9,107202,2190,668.79,6,88.28,12.79,digital_service,paypal,1
39:09.9,104563,2231,579.02,56,92.14,2.84,travel,debit_card,1
21:55.0,102729,2390,84.88,444,10.49,7.06,electronics,credit_card,0
04:43.9,110790,2321,148.53,487,62.59,24.46,travel,paypal,0
19:36.3,105251,2311,81.59,421,64.51,16.9,apparel,debit_card,0
06:55.7,103989,2303,7.5,216,39.2,7.86,electronics,credit_card,0
12:59.0,110970,2291,243.2,24,87.13,14.71,electronics,credit_card,1
10:21.0,101180,2347,3.7,16,71.27,7.96,subscription,debit_card,0
29:39.3,108021,2170,49,208,45.17,6.96,digital_service,credit_card,0
10:52.7,110433,2386,338.86,88,89.41,12.65,subscription,debit_card,1
17:45.1,110257,2127,846.7,60,90.51,5.81,travel,paypal,1
57:03.3,111284,2255,66.58,75,74.39,13.36,travel,paypal,1
32:02.3,106980,2327,32.81,495,15.43,9.61,apparel,credit_card,0
05:18.9,110634,2308,124.41,20,77.3,10.9,apparel,credit_card,1
45:52.9,101202,2362,65.25,12,67.09,14.87,apparel,debit_card,0
40:17.4,102224,2252,2144.68,938,76.98,16.18,subscription,debit_card,0
26:19.5,105853,2179,844.37,42,91.44,8.19,subscription,credit_card,1
39:10.8,110504,2158,57.02,12,72.39,6.8,subscription,paypal,1
03:22.2,108722,2266,777.7,6,78.61,8.42,apparel,credit_card,1
03:43.2,102303,2299,22.91,826,60.55,10.77,apparel,debit_card,0
42:20.2,110844,2190,71.24,220,74.55,16.59,subscription,debit_card,0
46:10.1,110711,2143,51,297,53.58,11.02,digital_service,credit_card,0
15:18.1,102503,2184,56.11,117,26.06,13.69,apparel,debit_card,0
32:04.3,106596,2146,27.35,752,40.97,7.9,travel,credit_card,0
45:09.8,109874,2118,1373.79,54,72.77,11.68,digital_service,paypal,1
55:38.2,101943,2165,10.49,662,26.94,21.51,electronics,paypal,0
